# Created by Octave 4.0.0, Sat Oct 22 14:00:28 2016 中国标准时间 <unknown@Kaiyuan-Xu>
# name: sg_table
# type: matrix
# rows: 79
# columns: 2
 3428 1
 1490 2
 916 3
 650 4
 498 5
 401 6
 334 7
 285 8
 248 9
 220 10
 196 11
 177 12
 162 13
 148 14
 137 15
 127 16
 119 17
 111 18
 105 19
 99 20
 94 21
 89 22
 85 23
 81 24
 77 25
 74 26
 71 27
 68 28
 65 29
 63 30
 61 31
 59 32
 57 33
 55 34
 54 35
 52 36
 50 37
 49 38
 48 39
 47 40
 45 41
 44 42
 43 43
 42 44
 41 45
 40 46
 39 47
 38 49
 37 50
 36 51
 35 53
 34 54
 33 56
 32 58
 31 60
 30 62
 29 64
 28 66
 27 69
 26 72
 25 75
 24 78
 23 82
 22 86
 21 91
 20 96
 19 102
 18 109
 17 117
 16 127
 15 138
 14 153
 13 170
 12 194
 11 225
 10 271
 9 344
 8 481
 7 854


